開始時刻,終了時刻,パフォーマー,タイトル,カテゴリ,画像,デスクリプション
15:00,15:30,文化祭運営,ぶんだら,舞踊,comingsoon,今年もやってきました、ぶんだらです♪ 去年までは文化祭最終日の開催でしたが、今回はどーんと前日祭の目玉企画として行います。準備もラストスパート! 明日からの本番に向けて、盛り上げていこうぜ!!
15:30,16:00,有志発表,SHY scholaRs,バンド,volunteer/shyscholars,「老人と海」「花に亡霊」「若者のすべて(ヨルシカver.)」「晴る」を演奏します。夏を感じられる曲が多く、みなさんの気分が晴れるようなステージにしたいです！途中でメンバーのソロもあるので、ぜひ注目してください！
16:00,16:30,有志発表,Song Sky,バンド,volunteer/songsky,僕たちはギター、ボーカル、エレクトーン、キーボード、ドラムの五人組のバンドです。エレクトーンという少し変わった楽器があるのでそれの音色にも注目です。名前のSong Sky通り、爽やかな演奏で皆さんを楽しさせます。ぜひ聞きに来てください。
16:30,17:00,有志発表,Luce,バンド,volunteer/luce,この春結成した1年だけのほのぼのバンドです！部活が忙しいなか時間を絞り出して練習してきました！メンバーそれぞれが個性豊かで唯一無二のバンドグループです！自分達も観客の皆さんも楽しめるステージにします！
